,locus_ID,20190709-RC1-AM-BOTTOMTPM,20190709-RC7-AM-BOTTOMTPM,20190716-RC1-AM-BOTTOMTPM,20190716-RC1-AM-TOPTPM,20190716-RC2-AM-BOTTOMTPM,20190716-RC7-AM-BOTTOMTPM,20190716-RC9-AM-BOTTOMTPM,20190723-RC1-AM-BOTTOMTPM,20190723-RC2-AM-BOTTOMTPM,20190723-RC7-AM-BOTTOMTPM,20190723-RC9-AM-BOTTOMTPM,20190730-RC1-AM-BOTTOMTPM,20190730-RC2-AM-BOTTOM-BUOYTPM,20190730-RC7-AM-BOTTOMTPM,20190730-RC9-AM-BOTTOMTPM
77,NODE_13058_length_1786_cov_11.860774,73.074085,326.624908,220.19984,246.803348,191.639011,96.720012,40.623421,299.419195,341.532741,368.871741,418.922699,52.097747,138.850982,278.602029,245.016886
78,NODE_14179_length_1711_cov_7.945048,229.788166,171.188507,230.681482,355.741269,172.106417,202.686407,127.722402,224.197402,357.979369,423.45969,241.556798,218.4389,0.0,185.840803,110.080049
79,NODE_139_length_35131_cov_8.673423,138.015841,178.454254,153.193425,119.208946,166.082399,213.597482,165.373659,219.065627,211.469774,200.829233,244.295443,104.433354,97.618417,174.741973,158.00255
80,NODE_163_length_31584_cov_9.796283,142.21474,210.830403,187.807782,108.688397,156.163546,264.665889,230.571134,248.223517,232.969454,209.810146,266.455598,86.489035,101.390181,147.161393,143.206897
81,NODE_170_length_30507_cov_9.307730,131.553179,177.378213,119.67236,95.99462,129.065022,237.396375,227.799177,188.184272,202.050177,209.697983,265.817959,100.75279,69.991228,143.449306,152.043139
82,NODE_190_length_27990_cov_9.961231,130.602753,217.861223,189.204992,102.871123,166.611074,289.306358,181.518503,280.276745,216.313938,273.979057,280.075686,91.553003,98.123468,160.228565,116.669485
83,NODE_198_length_27320_cov_10.040198,151.374619,223.23474,187.183084,112.805703,147.513778,245.73184,244.729637,243.598831,228.489852,224.800029,295.757513,100.065192,150.814226,144.418065,155.201891
84,NODE_259_length_22768_cov_8.490952,121.230806,204.073581,128.474523,104.414221,115.471673,194.436835,152.870103,206.389019,231.748209,212.997006,212.2824,71.37397,90.580724,109.572726,133.537718
85,NODE_271_length_22145_cov_7.962019,113.824918,170.84384,136.239571,79.958442,114.646437,211.986879,184.407598,205.901523,187.608457,200.778499,230.683964,88.847933,75.896703,116.433019,160.640345
86,NODE_283_length_21731_cov_8.965676,132.58169,189.203562,214.588466,88.477987,143.969478,218.507159,172.539715,216.309862,198.098422,221.904837,238.267432,62.993243,119.544649,179.914774,121.472059
